hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
a2c129,TYSON44 ,N277GX,A321,00:02.4,31.794136,-106.384834,ELP,El Paso International Airport,30:02.7,32.75769,-114.490601,Laguna AAF,LGF,Global X Airlines,El Paso Service Processing Center,Laguna AAF
a2c4e0,,N278GX,A320,00:01.7,31.799927,-106.379745,ELP,El Paso International Airport,30:01.7,32.736977,-114.514534,Laguna AAF,LGF,Global X Airlines,El Paso Service Processing Center,Laguna AAF
a2c4e0,,N278GX,A320,00:01.7,31.799927,-106.379745,ELP,El Paso International Airport,30:01.7,32.736977,-114.514534,Laguna AAF,LGF,Global X Airlines,El Paso Service Processing Center,Laguna AAF
a2c129,TYSON44 ,N277GX,A321,00:02.4,31.794136,-106.384834,ELP,El Paso International Airport,30:02.7,32.75769,-114.490601,Laguna AAF,LGF,Global X Airlines,El Paso Service Processing Center,Laguna AAF
a2d25e,GXA188  ,N281GX,A320,00:02.4,38.811665,-76.874847,ADW,Andrews AFB,00:03.0,23.226105,-75.218597,Deadmans Cay Airport,LGI,Global X Airlines,Andrews AFB,Deadmans Cay Airport
a2d25e,GXA188  ,N281GX,A320,00:02.4,38.811665,-76.874847,ADW,Andrews AFB,00:03.0,23.226105,-75.218597,Deadmans Cay Airport,LGI,Global X Airlines,Andrews AFB,Deadmans Cay Airport
a75013,TYSON43 ,N570TA,A321,30:02.9,15.446995,-87.928513,SAP,Ramon Villeda Morales International Airport,00:03.3,-11.948284,-77.162575,Jorge Chavez International Airport,LIM,Global X Airlines,Ramon Villeda Morales International Airport,Jorge Chavez International Airport
a2c4e0,,N278GX,A320,30:01.9,15.447743,-87.929459,SAP,Ramon Villeda Morales International Airport,00:01.8,-11.733631,-77.26506,Jorge Chavez International Airport,LIM,Global X Airlines,Ramon Villeda Morales International Airport,Jorge Chavez International Airport
a75013,,N570TA,A321,30:03.0,-32.258423,-71.491661,KNA,Vina del Mar,00:02.6,-11.933762,-77.157784,Jorge Chavez International Airport,LIM,Global X Airlines,Vina del Mar,Jorge Chavez International Airport
a1f3aa,OAE3148 ,N225AX,B762,30:03.5,28.560471,77.082932,DEL,Indira Gandhi International Airport,30:02.6,26.7854,80.816002,Chaudhary Charan Singh International Airport,LKO,Omni Air International,Indira Gandhi International Airport,Chaudhary Charan Singh International Airport
a1f3aa,OAE3148 ,N225AX,B762,30:03.5,28.560471,77.082932,DEL,Indira Gandhi International Airport,30:02.6,26.7854,80.816002,Chaudhary Charan Singh International Airport,LKO,Omni Air International,Indira Gandhi International Airport,Chaudhary Charan Singh International Airport
acb2ba,,N917XA,B738,00:02.4,31.79393,-106.385384,ELP,El Paso International Airport,30:02.5,15.667831,-87.735947,Las Limas,LLH,Eastern Air Express,El Paso Service Processing Center,Las Limas
a2f016,,N289GX,A320,00:02.5,31.793999,-106.384476,ELP,El Paso International Airport,30:02.2,15.51091,-87.872795,Las Limas,LLH,Global X Airlines,El Paso Service Processing Center,Las Limas
ad7274,TYSON41 ,N966AD,A321,00:02.2,26.264355,-97.658318,HRL,Valley International Airport,30:02.3,15.558689,-87.831085,Las Limas,LLH,Global X Airlines,El Valle Detention Facility,Las Limas
acb2ba,,N917XA,B738,00:02.4,31.79393,-106.385384,ELP,El Paso International Airport,30:02.5,15.667831,-87.735947,Las Limas,LLH,Eastern Air Express,El Paso Service Processing Center,Las Limas
a75013,TYSON43 ,N570TA,A321,00:02.2,1.923771,-83.075249,ESM,Esmeraldas Airport,00:02.9,15.590927,-87.752625,Las Limas,LLH,Global X Airlines,Esmeraldas Airport,Las Limas
